time,sample_time,trial_id,rep,joint_index,joint_name,effort_mag,direction,test_effort,q,q_deg,qdot,qddot,q_start,q_start_deg,q_delta,safe_min_deg,safe_max_deg,gravity_effort,command_effort,lock_joint_index,lock_joint_name,lock_q,lock_q_deg,lock_target,lock_err,stop_reason
1786425394.3336074,1.3005104064941406,25,3,17,joint_5_2,0.1,1,0.1,1.0154325588103008,58.17999999999999,1.6787823873338041,304.6741241107578,-0.05061454830783555,-2.9,1.0660471071181363,0.0,85.0,-0.012638177642988704,0.0873618223570113,-1,none,0.0,0.0,0.0,0.0,
1786425394.3390167,1.3059196472167969,25,3,17,joint_5_2,0.1,1,0.1,1.0154325588103008,58.17999999999999,0.0,-310.3545346581331,-0.05061454830783555,-2.9,1.0660471071181363,0.0,85.0,-0.012638177642988704,0.0873618223570113,-1,none,0.0,0.0,0.0,0.0,
1786425394.344593,1.3114960193634033,25,3,17,joint_5_2,0.1,1,0.1,1.0225884087434776,58.589999999999996,1.2832446875934402,230.12178058711004,-0.05061454830783555,-2.9,1.073202957051313,0.0,85.0,-0.012697826302985379,0.08730217369701462,-1,none,0.0,0.0,0.0,0.0,
1786425394.3499453,1.3168482780456543,25,3,17,joint_5_2,0.1,1,0.1,1.0225884087434776,58.589999999999996,0.0,-239.7575983853141,-0.05061454830783555,-2.9,1.073202957051313,0.0,85.0,-0.012697826302985379,0.08730217369701462,-1,none,0.0,0.0,0.0,0.0,
1786425394.355632,1.3225350379943848,25,3,17,joint_5_2,0.1,1,0.1,1.0299187916018537,59.00999999999999,1.2890262512333814,226.6714724825246,-0.05061454830783555,-2.9,1.0805333399096892,0.0,85.0,-0.01274768836404353,0.08725231163595648,-1,none,0.0,0.0,0.0,0.0,
1786425394.3610437,1.327946662902832,25,3,17,joint_5_2,0.1,1,0.1,1.0299187916018537,59.00999999999999,0.0,-238.1957864857334,-0.05061454830783555,-2.9,1.0805333399096892,0.0,85.0,-0.01274768836404353,0.08725231163595648,-1,none,0.0,0.0,0.0,0.0,
1786425394.3664968,1.333399772644043,25,3,17,joint_5_2,0.1,1,0.1,1.0391690366374238,59.54,1.6963247531335934,311.07475067188017,-0.05061454830783555,-2.9,1.0897835849452593,0.0,85.0,-0.012816218852701455,0.08718378114729855,-1,none,0.0,0.0,0.0,0.0,
1786425394.3718302,1.338733196258545,25,3,17,joint_5_2,0.1,1,0.1,1.0391690366374238,59.54,0.0,-318.05550725825856,-0.05061454830783555,-2.9,1.0897835849452593,0.0,85.0,-0.012816218852701455,0.08718378114729855,-1,none,0.0,0.0,0.0,0.0,
1786425394.377384,1.3442869186401367,25,3,17,joint_5_2,0.1,1,0.1,1.0459758207202017,59.93,1.2256255561746243,220.68541996932478,-0.05061454830783555,-2.9,1.0965903690280372,0.0,85.0,-0.012871240106585793,0.08712875989341422,-1,none,0.0,0.0,0.0,0.0,
1786425394.3827443,1.3496472835540771,25,3,17,joint_5_2,0.1,1,0.1,1.0459758207202017,59.93,0.0,-228.64591792756534,-0.05061454830783555,-2.9,1.0965903690280372,0.0,85.0,-0.012871240106585793,0.08712875989341422,-1,none,0.0,0.0,0.0,0.0,
1786425394.3882737,1.3551766872406006,25,3,17,joint_5_2,0.1,1,0.1,1.052259006027381,60.28999999999999,1.1363224071509082,205.50541641957065,-0.05061454830783555,-2.9,1.1028735543352166,0.0,85.0,-0.012916633028405095,0.08708336697159491,-1,none,0.0,0.0,0.0,0.0,
1786425394.393585,1.360487937927246,25,3,17,joint_5_2,0.1,1,0.1,1.052259006027381,60.28999999999999,0.0,-213.94629517451554,-0.05061454830783555,-2.9,1.1028735543352166,0.0,85.0,-0.012916633028405095,0.08708336697159491,-1,none,0.0,0.0,0.0,0.0,
1786425394.3991199,1.3660228252410889,25,3,17,joint_5_2,0.1,1,0.1,1.0597639218109567,60.71999999999999,1.3559292823913094,244.97866090247678,-0.05061454830783555,-2.9,1.1103784701187922,0.0,85.0,-0.012970183905881788,0.08702981609411822,-1,none,0.0,0.0,0.0,0.0,
1786425394.404519,1.3714220523834229,25,3,17,joint_5_2,0.1,1,0.1,1.0597639218109567,60.71999999999999,0.0,-251.13395799924925,-0.05061454830783555,-2.9,1.1103784701187922,0.0,85.0,-0.012970183905881788,0.08702981609411822,-1,none,0.0,0.0,0.0,0.0,
1786425394.4100096,1.3769125938415527,25,3,17,joint_5_2,0.1,1,0.1,1.0679669692953302,61.19,1.4940325188196504,272.1102336104622,-0.05061454830783555,-2.9,1.1185815176031657,0.0,85.0,-0.01302788053375684,0.08697211946624317,-1,none,0.0,0.0,0.0,0.0,
1786425394.415571,1.3824739456176758,25,3,17,joint_5_2,0.1,1,0.1,1.0679669692953302,61.19,0.0,-268.6455701712825,-0.05061454830783555,-2.9,1.1185815176031657,0.0,85.0,-0.01302788053375684,0.08697211946624317,-1,none,0.0,0.0,0.0,0.0,
1786425394.4210968,1.3879997730255127,25,3,17,joint_5_2,0.1,1,0.1,1.0740756216773102,61.53999999999999,1.1054728877916997,200.05563080451643,-0.05061454830783555,-2.9,1.1246901699851457,0.0,85.0,-0.013070276840780184,0.08692972315921982,-1,none,0.0,0.0,0.0,0.0,
1786425394.4264476,1.393350601196289,25,3,17,joint_5_2,0.1,1,0.1,1.0740756216773102,61.53999999999999,0.0,-206.5984652299727,-0.05061454830783555,-2.9,1.1246901699851457,0.0,85.0,-0.013070276840780184,0.08692972315921982,-1,none,0.0,0.0,0.0,0.0,
1786425394.4319856,1.3988885879516602,25,3,17,joint_5_2,0.1,1,0.1,1.080882405760088,61.92999999999999,1.2291080465615507,221.94131204259077,-0.05061454830783555,-2.9,1.1314969540679236,0.0,85.0,-0.013116943850536123,0.08688305614946389,-1,none,0.0,0.0,0.0,0.0,
1786425394.4373498,1.4042527675628662,25,3,17,joint_5_2,0.1,1,0.1,1.080882405760088,61.92999999999999,0.0,-229.13253016246492,-0.05061454830783555,-2.9,1.1314969540679236,0.0,85.0,-0.013116943850536123,0.08688305614946389,-1,none,0.0,0.0,0.0,0.0,
1786425394.4427876,1.4096906185150146,25,3,17,joint_5_2,0.1,1,0.1,1.090481716646057,62.48,1.7652765716530525,324.6276124864383,-0.05061454830783555,-2.9,1.1410962649538925,0.0,85.0,-0.013176298608621493,0.08682370139137852,-1,none,0.0,0.0,0.0,0.0,
1786425394.4481063,1.4150092601776123,25,3,17,joint_5_2,0.1,1,0.1,1.090481716646057,62.48,0.0,-331.90364826926145,-0.05061454830783555,-2.9,1.1410962649538925,0.0,85.0,-0.013176298608621493,0.08682370139137852,-1,none,0.0,0.0,0.0,0.0,
1786425394.4535367,1.4204397201538086,25,3,17,joint_5_2,0.1,1,0.1,1.0974630336540343,62.879999999999995,1.2855848378551757,236.7359014688201,-0.05061454830783555,-2.9,1.1480775819618698,0.0,85.0,-0.013228072410605144,0.08677192758939486,-1,none,0.0,0.0,0.0,0.0,
1786425394.4590137,1.4259166717529297,25,3,17,joint_5_2,0.1,1,0.1,1.0974630336540343,62.879999999999995,0.0,-234.72634632401684,-0.05061454830783555,-2.9,1.1480775819618698,0.0,85.0,-0.013228072410605144,0.08677192758939486,-1,none,0.0,0.0,0.0,0.0,
1786425394.4645438,1.4314467906951904,25,3,17,joint_5_2,0.1,1,0.1,1.1047934165124105,63.3,1.3255380101064287,239.6943038560653,-0.05061454830783555,-2.9,1.155407964820246,0.0,85.0,-0.013276045445942537,0.08672395455405747,-1,none,0.0,0.0,0.0,0.0,
1786425394.4699216,1.4368245601654053,25,3,17,joint_5_2,0.1,1,0.1,1.1047934165124105,63.3,0.0,-246.48472149057608,-0.05061454830783555,-2.9,1.155407964820246,0.0,85.0,-0.013276045445942537,0.08672395455405747,-1,none,0.0,0.0,0.0,0.0,
1786425394.4755628,1.4424657821655273,25,3,17,joint_5_2,0.1,1,0.1,1.1109020688943907,63.65,1.0828597743269157,191.95482367180085,-0.05061454830783555,-2.9,1.1615166172022262,0.0,85.0,-0.01330999724220364,0.08669000275779637,-1,none,0.0,0.0,0.0,0.0,
1786425394.4809,1.447803020477295,25,3,17,joint_5_2,0.1,1,0.1,1.1109020688943907,63.65,0.0,-202.88765670054855,-0.05061454830783555,-2.9,1.1615166172022262,0.0,85.0,-0.01330999724220364,0.08669000275779637,-1,none,0.0,0.0,0.0,0.0,
1786425394.4864292,1.4533321857452393,25,3,17,joint_5_2,0.1,1,0.1,1.119977781004761,64.16999999999999,1.6414253636054927,296.8667572882572,-0.05061454830783555,-2.9,1.1705923293125966,0.0,85.0,-0.013373145932848888,0.08662685406715112,-1,none,0.0,0.0,0.0,0.0,
1786425394.4918902,1.4587931632995605,25,3,17,joint_5_2,0.1,1,0.1,1.119977781004761,64.16999999999999,0.0,-300.57354150936357,-0.05061454830783555,-2.9,1.1705923293125966,0.0,85.0,-0.013373145932848888,0.08662685406715112,-1,none,0.0,0.0,0.0,0.0,
1786425394.4974835,1.4643864631652832,25,3,17,joint_5_2,0.1,1,0.1,1.1273081638631373,64.58999999999999,1.3105649677927798,234.30979909092613,-0.05061454830783555,-2.9,1.1779227121709728,0.0,85.0,-0.013413395142768954,0.08658660485723105,-1,none,0.0,0.0,0.0,0.0,
1786425394.5028389,1.4697418212890625,25,3,17,joint_5_2,0.1,1,0.1,1.1273081638631373,64.58999999999999,0.0,-244.72032261922925,-0.05061454830783555,-2.9,1.1779227121709728,0.0,85.0,-0.013413395142768954,0.08658660485723105,-1,none,0.0,0.0,0.0,0.0,
1786425394.508309,1.4752118587493896,25,3,17,joint_5_2,0.1,1,0.1,1.1342894808711146,64.99,1.2762832171829028,233.32257346306577,-0.05061454830783555,-2.9,1.18490402917895,0.0,85.0,-0.013456300820542222,0.08654369917945778,-1,none,0.0,0.0,0.0,0.0,
1786425394.5136776,1.4805805683135986,25,3,17,joint_5_2,0.1,1,0.1,1.1342894808711146,64.99,0.0,-237.7262546835029,-0.05061454830783555,-2.9,1.18490402917895,0.0,85.0,-0.013456300820542222,0.08654369917945778,-1,none,0.0,0.0,0.0,0.0,
1786425394.5191655,1.4860684871673584,25,3,17,joint_5_2,0.1,1,0.1,1.1419689295798896,65.42999999999999,1.3993371464510334,254.98502870397755,-0.05061454830783555,-2.9,1.1925834778877251,0.0,85.0,-0.013502739490045013,0.08649726050995499,-1,none,0.0,0.0,0.0,0.0,
1786425394.5245059,1.4914088249206543,25,3,17,joint_5_2,0.1,1,0.1,1.1419689295798896,65.42999999999999,0.0,-262.03158135221014,-0.05061454830783555,-2.9,1.1925834778877251,0.0,85.0,-0.013502739490045013,0.08649726050995499,-1,none,0.0,0.0,0.0,0.0,
