source_file,trial_id,joint_index,joint_name,direction,effort_mag,test_effort,duration,q_start,q_end,q_delta,qdot_fit,stop_reason,gravity_mean,command_mean,n_samples
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,75,0,joint_1_1,1,0.2,0.2,0.6661059856414795,-0.3886848244191371,0.8855800624619228,1.2742648868810598,1.9130062097458942,upper_limit,-9.382277692205203e-05,0.1999061772230779,122
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,76,0,joint_1_1,-1,0.2,-0.2,0.6758215427398682,0.9400343351241458,-0.3790855135331683,-1.3191198486573141,-1.9518759986688663,lower_limit,0.00016226857415113367,-0.19983773142584885,122
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,77,0,joint_1_1,1,0.2,0.2,0.6732387542724609,-0.3932226804743224,0.8955284391982904,1.2887511196726127,1.914255695314671,upper_limit,-8.784470784599362e-05,0.199912155292154,122
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,78,0,joint_1_1,-1,0.2,-0.2,0.6686797142028809,0.9463175204313252,-0.3701843343479972,-1.3165018547793224,-1.9688078265522033,lower_limit,0.00018230706574810866,-0.19981769293425186,121
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,79,0,joint_1_1,1,0.2,0.2,0.6693756580352783,-0.3900810878207326,0.8836602002847289,1.2737412881054615,1.9028796055179096,upper_limit,-9.103183753754771e-05,0.1999089681624624,122
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,80,0,joint_1_1,-1,0.2,-0.2,0.6711423397064209,0.9454448558053282,-0.3694862026471995,-1.3149310584525278,-1.959243189794464,lower_limit,0.00017910656640817002,-0.19982089343359177,124
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,81,0,joint_1_1,1,0.25,0.25,0.5319318771362306,-0.3928736146239235,0.8993681635526779,1.2922417781766014,2.4293369766325386,upper_limit,-0.00010962064983834745,0.24989037935016162,99
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,82,0,joint_1_1,-1,0.25,-0.25,0.5330171585083008,0.948586448458918,-0.3672172746196069,-1.315803723078525,-2.468595432764166,lower_limit,0.0002063651307970404,-0.24979363486920295,99
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,83,0,joint_1_1,1,0.25,0.25,0.5276443958282471,-0.3935717463247212,0.8806931405563386,1.2742648868810598,2.4150069572535444,upper_limit,-0.00013679841169484191,0.24986320158830513,98
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,84,0,joint_1_1,-1,0.25,-0.25,0.5313744544982911,0.9463175204313252,-0.373325927001587,-1.3196434474329122,-2.4834529327889547,lower_limit,0.0002198258730504161,-0.24978017412694956,99
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,85,0,joint_1_1,1,0.25,0.25,0.5279467105865479,-0.3886848244191371,0.8960520379738887,1.2847368623930258,2.433459356088582,upper_limit,-0.0001292965310148508,0.24987070346898507,98
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,86,0,joint_1_1,-1,0.25,-0.25,0.538320779800415,0.9457939216557272,-0.3778637830567723,-1.3236577047124995,-2.458864220703596,lower_limit,0.0002239839005282146,-0.24977601609947175,100
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,87,0,joint_1_1,1,0.25,0.25,0.5290768146514893,-0.3855432317655473,0.8874999246391165,1.2730431564046638,2.4061594104123354,upper_limit,-0.00012874800073057482,0.24987125199926938,98
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,88,0,joint_1_1,-1,0.25,-0.25,0.5375638008117676,0.9466665862817244,-0.3851941659151485,-1.3318607521968728,-2.4775863817199903,lower_limit,0.0002669085647706379,-0.2497330914352293,100
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,89,0,joint_1_1,1,0.25,0.25,0.5318429470062256,-0.3906046865963309,0.8916887148439029,1.2822934014402338,2.4110377107722063,upper_limit,-0.00011109282641466896,0.24988890717358533,98
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,90,0,joint_1_1,-1,0.25,-0.25,0.5315909385681153,0.9492845801597156,-0.3605850234620285,-1.309869603621744,-2.4640555520942238,lower_limit,0.0002865909728277561,-0.24971340902717218,99
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,91,0,joint_1_1,1,0.25,0.25,0.5280439853668213,-0.3897320219703337,0.8871508587887176,1.2768828807590513,2.418137344888091,upper_limit,-0.00012978341727427382,0.24987021658272565,98
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,92,0,joint_1_1,-1,0.25,-0.25,0.5384397506713867,0.9463175204313252,-0.3817035074111598,-1.328021027842485,-2.46642456502619,lower_limit,0.00026837149097752035,-0.24973162850902242,100
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,93,0,joint_1_1,1,0.25,0.25,0.5278878211975098,-0.3920009499979264,0.8883725892651136,1.28037353926304,2.425465198947992,upper_limit,-0.00012588924556681703,0.2498741107544331,98
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,94,0,joint_1_1,-1,0.25,-0.25,0.5330851078033447,0.9492845801597156,-0.3755948550291796,-1.3248794351888953,-2.4853056590686897,lower_limit,0.0002808501875813863,-0.24971914981241858,98
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,95,0,joint_1_1,1,0.25,0.25,0.528599739074707,-0.3963642731279122,0.8845328649107261,1.2808971380386382,2.4231891227960083,upper_limit,-0.00013886698530739863,0.24986113301469257,98
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,96,0,joint_1_1,-1,0.25,-0.25,0.5361363887786865,0.9499827118605136,-0.3836233695883536,-1.3336060814488673,-2.48743810224635,lower_limit,0.0002633980760714788,-0.24973660192392855,100
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,97,0,joint_1_1,1,0.25,0.25,0.5249979496002197,-0.396713338978311,0.8791223442295437,1.2758356832078548,2.4301726972065127,upper_limit,-0.00013783271090441108,0.24986216728909552,96
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,98,0,joint_1_1,-1,0.25,-0.25,0.5288054943084717,0.9477137838329208,-0.372104196525191,-1.3198179803581118,-2.4958477068852343,lower_limit,0.0002732497790598601,-0.24972675022094004,98
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,99,0,joint_1_1,1,0.25,0.25,0.5214660167694092,-0.38781215979314,0.8768534162019511,1.264665575995091,2.4252118744572435,upper_limit,-0.00013094617176987505,0.24986905382823013,96
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,100,0,joint_1_1,-1,0.25,-0.25,0.5344996452331543,0.9447467241045304,-0.3762929867299774,-1.3210397108345078,-2.4715445980478745,lower_limit,0.000271875336303572,-0.24972812466369637,98
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,101,0,joint_1_1,1,0.3,0.3,0.4327254295349121,-0.3925245487735246,0.8759807515759539,1.2685053003494784,2.9314322981037932,upper_limit,-0.0001538674233217517,0.29984613257667825,80
