source_file,trial_id,joint_index,joint_name,direction,effort_mag,test_effort,duration,q_start,q_end,q_delta,qdot_fit,stop_reason,gravity_mean,command_mean,n_samples,exclude_reason
hand_friction_sweep_joint3_joint_1_4_20260811_151452.csv,18,3,joint_1_4,-1,0.05,-0.05,8.003522872924805,1.5451399867905795,-1.0257300013970674,-2.570869988187647,-0.32121729755838746,timeout,0.0002238680670038018,-0.04977613193299615,1457,invalid_stop_reason;
hand_friction_sweep_joint3_joint_1_4_20260811_151452.csv,19,3,joint_1_4,1,0.05,0.05,8.003268480300903,-1.5753341828500818,0.8302531251737025,2.4055873080237844,0.30057561032031505,timeout,-0.0017777227242389319,0.048222277275761005,1453,invalid_stop_reason;
hand_friction_sweep_joint3_joint_1_4_20260811_151452.csv,20,3,joint_1_4,-1,0.05,-0.05,8.001469135284424,1.5301301552234283,-1.0266026660230645,-2.556732821246493,-0.3195329230193438,timeout,0.00022119824692221404,-0.04977880175307774,1456,invalid_stop_reason;
hand_friction_sweep_joint4_joint_2_1_20260811_140138.csv,2,4,joint_2_1,-1,0.05,-0.05,5.627195596694946,0.143116998663535,-0.6600835231042553,-0.8032005217677903,-0.14273549016841333,q_not_changing,0.009396786248344365,-0.04060321375165555,1034,invalid_stop_reason;
hand_friction_sweep_joint4_joint_2_1_20260811_140138.csv,4,4,joint_2_1,-1,0.05,-0.05,5.62712836265564,0.1373574121319537,-0.6700318998406231,-0.8073893119725768,-0.143481587754565,q_not_changing,0.009505293603536955,-0.04049470639646296,1035,invalid_stop_reason;
hand_friction_sweep_joint4_joint_2_1_20260811_140138.csv,6,4,joint_2_1,-1,0.05,-0.05,5.021156311035156,0.1258382390687911,-0.6696828339902242,-0.7955210730590153,-0.1584338394944354,q_not_changing,0.009010942490322783,-0.04098905750967714,925,invalid_stop_reason;
hand_friction_sweep_joint4_joint_2_1_20260811_140138.csv,8,4,joint_2_1,-1,0.05,-0.05,5.034179925918579,0.143116998663535,-0.6696828339902242,-0.8127998326537592,-0.16145625397078928,q_not_changing,0.008993289214649052,-0.04100671078535086,926,invalid_stop_reason;
hand_friction_sweep_joint4_joint_2_1_20260811_140138.csv,10,4,joint_2_1,-1,0.05,-0.05,5.630295038223267,0.1308996938995747,-0.6700318998406231,-0.8009315937401977,-0.14225392955480803,q_not_changing,0.009617398223791965,-0.04038260177620795,1037,invalid_stop_reason;
hand_friction_sweep_joint4_joint_2_1_20260811_140138.csv,12,4,joint_2_1,-1,0.05,-0.05,5.024315595626831,0.128630765871982,-0.6597344572538565,-0.7883652231258385,-0.15690997273579554,q_not_changing,0.008973186960714702,-0.04102681303928521,927,invalid_stop_reason;
hand_friction_sweep_joint4_joint_2_1_20260811_140138.csv,14,4,joint_2_1,-1,0.05,-0.05,5.033672332763672,0.1267109036947883,-0.6597344572538565,-0.7864453609486448,-0.15623690001229326,q_not_changing,0.009025493085320678,-0.040974506914679236,925,invalid_stop_reason;
hand_friction_sweep_joint4_joint_2_1_20260811_140138.csv,16,4,joint_2_1,-1,0.05,-0.05,5.023406267166138,0.1439896632895321,-0.6600835231042553,-0.8040731863937874,-0.1600653308989461,q_not_changing,0.008947377157354273,-0.041052622842645645,927,invalid_stop_reason;
hand_friction_sweep_joint4_joint_2_1_20260811_140138.csv,18,4,joint_2_1,-1,0.05,-0.05,5.020956993103027,0.1328195560767684,-0.6590363255530588,-0.7918558816298272,-0.15771015021987836,q_not_changing,0.0090146341681097,-0.04098536583189022,925,invalid_stop_reason;
hand_friction_sweep_joint4_joint_2_1_20260811_140138.csv,20,4,joint_2_1,-1,0.05,-0.05,5.023856163024902,0.1293288975727798,-0.6593853914034576,-0.7887142889762374,-0.15699380383958814,q_not_changing,0.009083627683688238,-0.04091637231631168,925,invalid_stop_reason;
hand_friction_sweep_joint5_joint_2_2_20260811_153257.csv,1,5,joint_2_2,1,0.05,0.05,5.6201512813568115,-0.0001745329251994,1.0316641208538482,1.0318386537790476,0.1835962418310459,q_not_changing,-0.002125680751043031,0.04787431924895691,1018,invalid_stop_reason;
hand_friction_sweep_joint5_joint_2_2_20260811_153257.csv,3,5,joint_2_2,1,0.05,0.05,5.01433539390564,0.0816814089933346,1.055400598680971,0.9737191896876363,0.19418708825721598,q_not_changing,-0.0025156385582344046,0.04748436144176553,909,invalid_stop_reason;
hand_friction_sweep_joint5_joint_2_2_20260811_153257.csv,5,5,joint_2_2,1,0.05,0.05,5.618011474609375,0.0836012711705283,1.055051532830572,0.9714502616600438,0.1729171017272779,q_not_changing,-0.0031374263411710446,0.0468625736588289,1018,invalid_stop_reason;
hand_friction_sweep_joint5_joint_2_2_20260811_153257.csv,7,5,joint_2_2,1,0.05,0.05,5.021600008010864,0.0832522053201295,1.0576695267085636,0.9744173213884342,0.1940451887513869,q_not_changing,-0.002630438139577688,0.04736956186042225,908,invalid_stop_reason;
hand_friction_sweep_joint5_joint_2_2_20260811_153257.csv,9,5,joint_2_2,1,0.05,0.05,5.619086742401123,0.0727802298081635,1.055051532830572,0.9822713030224086,0.17480977746975815,q_not_changing,-0.003111230402194195,0.04688876959780574,1018,invalid_stop_reason;
hand_friction_sweep_joint5_joint_2_2_20260811_153257.csv,11,5,joint_2_2,1,0.05,0.05,5.6158411502838135,0.0827286065445312,1.055051532830572,0.9723229262860409,0.17313932147758518,q_not_changing,-0.0031555035252613553,0.046844496474738574,1018,invalid_stop_reason;
hand_friction_sweep_joint5_joint_2_2_20260811_153257.csv,13,5,joint_2_2,1,0.05,0.05,5.615400552749634,0.0823795406941323,1.055400598680971,0.9730210579868386,0.17327723086653002,q_not_changing,-0.0031668933281897467,0.04683310667181019,1018,invalid_stop_reason;
hand_friction_sweep_joint5_joint_2_2_20260811_153257.csv,15,5,joint_2_2,1,0.05,0.05,5.020580291748047,0.0827286065445312,1.0557496645313698,0.9730210579868386,0.19380649276461542,q_not_changing,-0.0025753428325191573,0.04742465716748078,912,invalid_stop_reason;
hand_friction_sweep_joint5_joint_2_2_20260811_153257.csv,17,5,joint_2_2,1,0.05,0.05,5.625629901885986,0.0836012711705283,1.055400598680971,0.9717993275104426,0.17274498046603598,q_not_changing,-0.0032052067964116145,0.04679479320358832,1022,invalid_stop_reason;
hand_friction_sweep_joint5_joint_2_2_20260811_153257.csv,19,5,joint_2_2,1,0.05,0.05,5.620997667312622,0.0832522053201295,1.0547024669801732,0.9714502616600438,0.17282523835746236,q_not_changing,-0.003128733352610809,0.04687126664738912,1017,invalid_stop_reason;
hand_friction_sweep_joint6_joint_2_3_20260811_153827.csv,1,6,joint_2_3,1,0.05,0.05,5.6153929233551025,-1.578650308428871,-0.4249876728606192,1.1536626355682518,0.2054464667592589,q_not_changing,0.00856537791788166,0.05856537791788167,1018,invalid_stop_reason;
hand_friction_sweep_joint6_joint_2_3_20260811_153827.csv,2,6,joint_2_3,-1,0.05,-0.05,1.4047045707702637,1.5905185473424324,1.569400063393301,-0.021118483949131406,-0.015034110651146508,q_not_changing,-0.010390080748416797,-0.06039008074841681,255,invalid_stop_reason;
hand_friction_sweep_joint6_joint_2_3_20260811_153827.csv,3,6,joint_2_3,1,0.05,0.05,6.219781875610352,-1.571843524346093,-0.3150319299849765,1.2568115943611167,0.20206682798466866,q_not_changing,0.007900611094379674,0.057900611094379675,1128,invalid_stop_reason;
hand_friction_sweep_joint6_joint_2_3_20260811_153827.csv,4,6,joint_2_3,-1,0.05,-0.05,1.401900053024292,1.5924384095196262,1.5728907218972896,-0.019547687622336607,-0.013943709881575906,q_not_changing,-0.01039800046627001,-0.06039800046627002,255,small_q_delta;invalid_stop_reason;
hand_friction_sweep_joint6_joint_2_3_20260811_153827.csv,5,6,joint_2_3,1,0.05,0.05,6.214710235595703,-1.5737633865232867,-0.3141592653589793,1.2596041211643074,0.20268107014060482,q_not_changing,0.00782562098967454,0.05782562098967454,1127,invalid_stop_reason;
hand_friction_sweep_joint6_joint_2_3_20260811_153827.csv,6,6,joint_2_3,-1,0.05,-0.05,1.4044177532196045,1.5831881644840562,1.5725416560468908,-0.010646508437165414,-0.007580727609543862,q_not_changing,-0.010400553360872925,-0.06040055336087294,256,small_q_delta;invalid_stop_reason;
hand_friction_sweep_joint6_joint_2_3_20260811_153827.csv,7,6,joint_2_3,1,0.05,0.05,6.219130754470825,-1.5699236621688992,-0.3138101995085804,1.2561134626603188,0.20197572816061482,q_not_changing,0.007827264569172095,0.057827264569172095,1129,invalid_stop_reason;
hand_friction_sweep_joint6_joint_2_3_20260811_153827.csv,8,6,joint_2_3,-1,0.05,-0.05,0.8017845153808594,1.595929068023615,1.595929068023615,0.0,0.0,q_not_changing,-0.010442533499967007,-0.06044253349996701,146,small_qdot;small_q_delta;invalid_stop_reason;direction_mismatch;
hand_friction_sweep_joint6_joint_2_3_20260811_153827.csv,9,6,joint_2_3,1,0.05,0.05,6.219510793685913,-1.571843524346093,-0.3134611336581815,1.2583823906879115,0.2023281946813935,q_not_changing,0.007810687613884599,0.0578106876138846,1128,invalid_stop_reason;
hand_friction_sweep_joint6_joint_2_3_20260811_153827.csv,10,6,joint_2_3,-1,0.05,-0.05,1.4030654430389404,1.5859806912872472,1.5802211047556658,-0.005759586531581373,-0.0041050020582835516,q_not_changing,-0.010414992072027854,-0.060414992072027864,255,small_qdot;small_q_delta;invalid_stop_reason;
hand_friction_sweep_joint6_joint_2_3_20260811_153827.csv,11,6,joint_2_3,1,0.05,0.05,6.217514991760254,-1.577079512102076,-0.3138101995085804,1.2632693125934955,0.20317913415048294,q_not_changing,0.007814194273058638,0.05781419427305865,1128,invalid_stop_reason;
hand_friction_sweep_joint6_joint_2_3_20260811_153827.csv,12,6,joint_2_3,-1,0.05,-0.05,1.4046437740325928,1.603259450881991,1.5831881644840562,-0.020071286397934873,-0.014289236010573844,q_not_changing,-0.010422484846774034,-0.06042248484677404,256,invalid_stop_reason;
hand_friction_sweep_joint6_joint_2_3_20260811_153827.csv,13,6,joint_2_3,1,0.05,0.05,6.215467929840088,-1.5744615182240844,-0.3138101995085804,1.260651318715504,0.20282484487824204,q_not_changing,0.007849558019267051,0.05784955801926706,1127,invalid_stop_reason;
hand_friction_sweep_joint6_joint_2_3_20260811_153827.csv,14,6,joint_2_3,-1,0.05,-0.05,2.003693103790283,1.603259450881991,1.5840608291100533,-0.019198621771937763,-0.009581617931219465,q_not_changing,-0.010432289483149474,-0.06043228948314948,364,small_q_delta;invalid_stop_reason;
hand_friction_sweep_joint6_joint_2_3_20260811_153827.csv,15,6,joint_2_3,1,0.05,0.05,6.213433742523193,-1.5859806912872472,-0.3134611336581815,1.2725195576290655,0.2048013401865475,q_not_changing,0.007813930565976195,0.057813930565976196,1127,invalid_stop_reason;
hand_friction_sweep_joint6_joint_2_3_20260811_153827.csv,16,6,joint_2_3,-1,0.05,-0.05,1.4054243564605713,1.6027358521063926,1.5924384095196262,-0.010297442586766348,-0.007326927656711091,q_not_changing,-0.010446655819283873,-0.06044665581928387,256,small_q_delta;invalid_stop_reason;
